Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
FMA Direct,PS20,(add),0.71,0.87,0.39,0.85,6.0,15.5,6.0,0.08,(add),(add),Plastic,18.95
FMA Direct,PS30,(add),0.28,0.87,0.39,0.85,4.8,12.0,4.8,0.11,(add),(add),Plastic,29.95
FMA Direct,PS30,(add),0.28,0.87,0.39,0.85,6.0,14.0,6.0,0.09,(add),(add),Plastic,29.95
FMA Direct,PS300,(add),1.86,1.59,0.79,1.40,4.8,36.0,4.8,0.24,(add),Bushing,Plastic,13.95
FMA Direct,PS300,(add),1.86,1.59,0.79,1.40,6.0,43.0,6.0,0.20,(add),Bushing,Plastic,13.95
FMA Direct,PS300BB,(add),1.86,1.59,0.79,1.40,4.8,36.0,4.8,0.24,(add),Dual Bearings,Plastic,16.95
FMA Direct,PS300BB,(add),1.86,1.59,0.79,1.40,6.0,43.0,6.0,0.20,(add),Dual Bearings,Plastic,16.95
FMA Direct,PS500BB,(add),2.08,1.59,0.79,1.59,4.8,63.0,4.8,0.15,(add),Dual Bearings,Plastic,29.95
FMA Direct,PS500BB,(add),2.08,1.59,0.79,1.59,6.0,78.0,6.0,0.13,(add),Dual Bearings,Plastic,29.95
FMA Direct,PS500MBB,(add),2.42,1.59,0.79,1.59,4.8,63.0,4.8,0.15,(add),Dual Bearings,Metal,33.95
FMA Direct,PS500MBB,(add),2.42,1.59,0.79,1.59,6.0,78.0,6.0,0.13,(add),Dual Bearings,Metal,33.95
FMA Direct,PS705MBB,(add),2.42,1.59,0.79,1.59,4.8,85.0,4.8,0.24,(add),Dual Bearings,Metal,33.95
FMA Direct,PS705MBB,(add),2.42,1.59,0.79,1.59,6.0,106.0,6.0,0.20,(add),Dual Bearings,Metal,33.95
FMA Direct,PS905MBB,(add),2.42,1.59,0.79,1.59,4.8,110.0,4.8,0.34,(add),Dual Bearings,Metal,33.95
FMA Direct,PS905MBB,(add),2.42,1.59,0.79,1.59,6.0,135.0,6.0,0.27,(add),Dual Bearings,Metal,33.95
FMA Direct,S100,(add),0.49,1.06,0.50,0.97,4.8,25.0,4.8,0.15,(add),(add),(add),21.95
FMA Direct,S200,(add),0.85,1.22,0.63,1.21,4.8,44.5,4.8,0.23,(add),(add),(add),21.95
FMA Direct,S300,(add),1.48,1.60,0.80,1.50,4.8,41.7,4.8,0.14,(add),(add),(add),10.95
