Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
Cirrus,CS-502MG,(add),1.19,1.65,0.85,0.87,4.8,83.0,4.8,0.18,(add),Dual Bearings,Metal,29.99
Cirrus,CS-503RBB,(add),1.00,1.7,0.9,0.9,4.8,97.0,4.8,0.27,(add),Dual Bearings,Plastic,(add)
Cirrus,CS-59,(add),1.24,1.7,0.9,1.0,4.8,61.6,4.8,0.18,(add),Single Bearing,(add),27.99
Cirrus,CS-601BB,Analog,1.90,1.6,0.8,1.5,4.8,75.0,4.8,0.19,(add),Single Bearing,Plastic,16.95
Cirrus,CS-60BB,(add),1.58,1.6,0.79,1.49,4.8,51.4,4.8,0.14,(add),Single Bearing,(add),16.99
Cirrus,CS-60MG,(add),1.94,1.6,0.79,1.49,4.8,63.0,4.8,0.17,(add),Single Bearing,Metal,21.99
Cirrus,CS-63,(add),1.23,1.73,0.9,1.0,4.8,90.0,4.8,0.17,(add),Single Bearing,(add),32.99
Cirrus,CS-65,(add),1.73,1.6,0.8,1.5,4.8,77.0,4.8,0.16,(add),Dual Bearings,(add),29.99
Cirrus,CS-702MG,(add),1.60,1.6,0.8,1.6,4.8,86.0,4.8,0.08,(add),Dual Bearings,Metal,(add)
Cirrus,CS-75BB,(add),1.59,1.57,0.77,1.37,4.8,79.0,4.8,0.06,Coreless,Single Bearing,(add),47.99
Cirrus,CS-75MG,(add),1.59,1.57,0.77,1.37,4.8,79.0,4.8,0.06,Coreless,Dual Bearings,Metal,51.99
Corona,DS-538MG,Digital,2.05,0.79,1.58,1.52,4.8,97.0,4.8,0.14,(add),Single Bearing,Metal,9.99
CYS,BLS3310,Digital,1.59,1.38,0.59,1.29,6.0,55.6,6.0,0.05,Brushless,(add),Metal,(add)
CYS,BLS3310,Digital,1.59,1.38,0.59,1.29,7.2,69.4,7.4,0.04,Brushless,(add),Metal,(add)
CYS,BLS5107,Digital,2.19,1.58,0.8,1.55,6.0,97.2,6.0,0.06,Brushless,(add),Titanium,(add)
CYS,BLS5507,Digital,1.59,1.61,0.79,0.99,6.0,69.4,6.0,0.06,Brushless,(add),Titanium,(add)
CYS,BLS5507,Digital,1.59,1.61,0.79,0.99,7.2,83.3,7.4,0.05,Brushless,(add),Titanium,(add)
CYS,BLS5510,Digital,1.59,1.61,0.79,0.99,7.2,62.5,7.4,0.04,Brushless,(add),Titanium,(add)
CYS,BLS5511,Digital,2.05,1.61,0.79,0.99,7.2,62.5,7.4,0.04,Brushless,(add),Titanium,(add)
CYS,BLS5517,Digital,2.05,1.61,0.79,0.99,6.0,69.4,6.0,0.06,Brushless,(add),Titanium,(add)
CYS,BLS5517,Digital,2.05,1.61,0.79,0.99,7.2,83.3,7.4,0.05,Brushless,(add),Titanium,(add)
CYS,BLS5807,Digital,2.93,1.58,0.79,1.55,6.0,76.4,6.0,0.06,Brushless,(add),Metal,(add)
