Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
Airtronics/ Sanwa,94738Z,(add),1.94,1.54,0.79,1.38,6.0,88.0,6.0,0.16,Coreless,Dual Bearings,Metal,74.95
Airtronics/ Sanwa,94739Z,Analog,1.87,1.46,0.75,1.44,4.8,74.0,4.8,0.42,(add),Dual Bearings,Hybrid,59.95
Airtronics/ Sanwa,94739Z,Analog,1.87,1.46,0.75,1.44,6.0,93.0,6.0,0.34,(add),Dual Bearings,Hybrid,59.95
Airtronics/ Sanwa,94742Z,(add),1.87,1.46,0.75,1.38,4.8,74.0,4.8,0.42,(add),(add),(add),44.95
Airtronics/ Sanwa,94742Z,(add),1.87,1.46,0.75,1.38,6.0,93.0,6.0,0.34,(add),(add),(add),44.95
Airtronics/ Sanwa,94743Z,Analog,1.80,1.54,0.79,1.38,4.8,67.0,4.8,0.19,5-pole,Dual Bearings,Hybrid,44.95
Airtronics/ Sanwa,94743Z,Analog,1.80,1.54,0.79,1.38,6.0,84.0,6.0,0.15,5-pole,Dual Bearings,Hybrid,44.95
Airtronics/ Sanwa,94746M,Digital,1.76,1.59,0.83,1.04,4.8,80.0,4.8,0.10,3-pole,Dual Bearings,Metal,99.99
Airtronics/ Sanwa,94746M,Digital,1.76,1.59,0.83,1.04,6.0,89.0,6.0,0.08,3-pole,Dual Bearings,Metal,99.99
Airtronics/ Sanwa,94751Z,Digital,1.80,1.54,0.79,1.40,4.8,73.0,4.8,0.16,Coreless,Dual Bearings,Plastic,(add)
Airtronics/ Sanwa,94751Z,Digital,1.80,1.54,0.79,1.40,6.0,91.0,6.0,0.13,Coreless,Dual Bearings,Plastic,(add)
Airtronics/ Sanwa,94755Z,Digital,2.04,1.54,0.79,1.40,4.8,65.0,4.8,0.14,Coreless,Dual Bearings,Hybrid,99.99
Airtronics/ Sanwa,94755Z,Digital,2.04,1.54,0.79,1.40,6.0,81.0,6.0,0.11,Coreless,Dual Bearings,Hybrid,99.99
Airtronics/ Sanwa,94757Z,Digital,2.04,1.54,0.79,1.40,4.8,96.0,4.8,0.09,(add),Dual Bearings,Metal,(add)
Airtronics/ Sanwa,94757Z,Digital,2.04,1.54,0.79,1.40,6.0,115.0,6.0,0.07,(add),Dual Bearings,Metal,(add)
Airtronics/ Sanwa,94758Z,Digital,2.12,1.54,0.79,1.47,4.8,92.0,4.8,0.07,Coreless,Dual Bearings,Metal,86.99
Airtronics/ Sanwa,94758Z,Digital,2.12,1.54,0.79,1.47,6.0,115.0,6.0,0.06,Coreless,Dual Bearings,Metal,86.99
Airtronics/ Sanwa,94761Z,Digital,0.81,1.06,0.47,1.18,4.8,55.0,4.8,0.15,3-pole,Dual Bearings,Metal,59.99
Airtronics/ Sanwa,94761Z,Digital,0.81,1.06,0.47,1.18,6.0,66.0,6.0,0.12,3-pole,Dual Bearings,Metal,59.99
Airtronics/ Sanwa,94762,Digital,1.94,1.54,0.79,1.61,4.8,92.0,4.8,0.22,(add),Dual Bearings,Metal,49.99
Airtronics/ Sanwa,94771M,Digital,1.98,1.54,0.79,1.47,4.8,82.0,4.8,0.13,3-pole,Dual Bearings,Metal,108.99
Airtronics/ Sanwa,94771M,Digital,1.98,1.54,0.79,1.47,6.0,103.0,6.0,0.10,3-pole,Dual Bearings,Metal,108.99
Airtronics/ Sanwa,94772M,(add),1.98,1.54,0.79,1.47,4.8,67.0,4.8,0.11,3-pole,Dual Bearings,Metal,69.99
Airtronics/ Sanwa,94772M,(add),1.98,1.54,0.79,1.47,6.0,83.0,6.0,0.09,3-pole,Dual Bearings,Metal,69.99
Airtronics/ Sanwa,94773M,(add),2.00,1.54,0.79,1.47,4.8,156.0,4.8,0.15,3-pole,Dual Bearings,Metal,108.99
